Co_30_1_NT_0;	0.014;	1041;	183;	24;	97
Co_30_1_NT_1;	0.013;	1756;	246;	111;	172
Co_30_1_NT_2;	0.017;	2341;	276;	76;	178
Co_30_1_NT_3;	0.028;	2105;	341;	132;	131
Co_30_1_NT_4;	0.018;	1477;	158;	201;	109
Co_30_1_NT_5;	0.021;	2996;	229;	220;	179
Co_30_1_NT_6;	0.009;	1623;	190;	80;	194
Co_30_1_NT_7;	0.01;	1032;	215;	144;	62
Co_30_1_NT_8;	0.018;	2288;	282;	264;	117
Co_30_1_NT_9;	0.018;	1562;	182;	144;	130
Co_30_1_NT_10;	0.008;	1140;	191;	62;	91
Co_30_1_NT_11;	0.01;	1373;	142;	60;	148
Co_30_1_NT_12;	0.011;	949;	154;	47;	68
Co_30_1_NT_13;	0.009;	1048;	140;	54;	113
Co_30_1_NT_14;	0.007;	787;	164;	23;	70
Co_30_1_NT_15;	0.012;	1030;	93;	145;	100
Co_30_1_NT_16;	0.02;	1139;	115;	118;	110
Co_30_1_NT_17;	0.01;	635;	66;	63;	68
Co_30_1_NT_18;	0.016;	2401;	304;	86;	159
Co_30_1_NT_19;	0.012;	1037;	183;	90;	76
Co_30_1_T_0;	0.006;	1105;	85;	31;	125
Co_30_1_T_1;	0.013;	1796;	47;	149;	213
Co_30_1_T_2;	0.017;	2437;	279;	82;	173
Co_30_1_T_3;	0.008;	2073;	327;	135;	134
Co_30_1_T_4;	0.02;	1545;	170;	209;	100
Co_30_1_T_5;	0.009;	2888;	228;	213;	184
Co_30_1_T_6;	0.011;	1592;	166;	115;	179
Co_30_1_T_7;	0.008;	1394;	176;	106;	100
Co_30_1_T_8;	0.01;	2012;	260;	306;	97
Co_30_1_T_9;	0.011;	1820;	292;	66;	145
Co_30_1_T_10;	0.008;	1131;	133;	103;	83
Co_30_1_T_11;	0.016;	1347;	144;	122;	106
Co_30_1_T_12;	0.008;	1047;	111;	34;	91
Co_30_1_T_13;	0.009;	1219;	236;	63;	75
Co_30_1_T_14;	0.006;	845;	125;	23;	83
Co_30_1_T_15;	0.015;	1144;	111;	100;	124
Co_30_1_T_16;	0.01;	1421;	105;	140;	99
Co_30_1_T_17;	0.011;	734;	62;	75;	61
Co_30_1_T_18;	0.022;	2032;	305;	115;	139
Co_30_1_T_19;	0.012;	1050;	105;	90;	101
Co_30_20_NT_0;	0.106;	719;	385;	14;	102
Co_30_20_NT_1;	0.117;	901;	710;	79;	9
Co_30_20_NT_2;	0.142;	872;	872;	0;	0
Co_30_20_NT_3;	0.076;	457;	211;	60;	42
Co_30_20_NT_4;	0.133;	706;	257;	11;	139
Co_30_20_NT_5;	0.124;	827;	827;	0;	0
Co_30_20_NT_6;	0.104;	437;	437;	0;	0
Co_30_20_NT_7;	0.09;	984;	352;	59;	96
Co_30_20_NT_8;	0.115;	937;	698;	0;	78
Co_30_20_NT_9;	0.119;	1132;	730;	47;	72
Co_30_20_NT_10;	0.127;	721;	560;	0;	49
Co_30_20_NT_11;	0.128;	1017;	404;	13;	149
Co_30_20_NT_12;	0.17;	921;	467;	83;	55
